var,coef,word frequency
traditional,0.260694276,332
printing,-0.913341892,44
combined,0.521101166,92
reaching,0.203137519,239
sidmouth,-0.380137131,16
sense,-0.587916685,165
faces,0.378917946,17
ceramics,-0.447585755,31
capturing,0.104588907,31
1000,0.140215089,41
micro,-0.697678651,49
using,0.131716614,1009
red,-0.061813201,36
boxes,0.871443165,14
"
6",-0.057020345,15
peace,-1.028329433,28
garden,-0.016482409,109
mural,-0.343640976,47
hall,0.05757747,195
sanctuary,0.48892611,36
beyond,0.455465389,217
exhibited,-0.313889951,122
seven,0.264638712,38
provide,-0.102290178,788
embracing,-0.19410602,20
cultures,-0.85370755,152
leeds,0.266250213,237
re,0.108886665,317
opening,0.179939732,136
july,-0.248704048,114
found,-0.416469296,100
most,0.060933465,341
successful,-0.063966729,335
confidence,-0.039042481,250
live,0.176202535,2378
music;,1.290800504,18
confirmed,-0.014049434,116
2021,-0.281205645,466
order,0.092029191,149
would,-0.061286586,510
like,-0.111769501,414
programme,-0.047152556,1731
partners,0.103745363,871
focus,-0.517389775,628
folk,0.101221797,242
indie,1.128853109,15
rock,0.1621922,71
some,-0.435737156,320
established,0.080722403,412
but,-0.113699733,568
main,-0.268295967,218
target,-0.158479798,250
coming,-0.271312426,116
talent,-0.160580311,433
particularly,0.501841189,173
platform,0.363212244,458
attract,-0.062788936,131
younger,-0.079879489,119
see,-0.011450491,410
vibrancy,-0.04026587,11
sustainability,0.172653184,181
measure,-0.177359732,22
data,-0.285527902,134
collective,0.164079164,268
innovate,-0.240418486,15
technologies,0.429268208,79
virtual,-0.357669204,145
immersive,-0.153056059,453
augmented,-0.387515308,43
sustain,0.246329027,63
industries,-0.231356841,53
consists,0.608592558,73
simple,0.074354747,26
easy,-0.016177336,23
follow,0.122775818,99
format,-0.307543574,111
opportunity,0.076434849,659
play,-0.266156482,1306
explore,0.027557953,1159
multiple,-0.484933376,172
lab,0.173516708,62
concept,-0.203003279,124
technology,0.303119935,234
person,0.504997862,382
events,0.129196633,1528
pieces,-0.077228514,243
peers,0.540608382,96
underpinned,-0.001605532,19
experts,0.058239967,165
draw,-0.565210004,93
code,-0.389519993,17
whitley,0.635921413,14
company,0.640461063,519
who,-0.12691234,1972
deliver,-0.139435768,978
masterclasses,0.163150497,98
photographers,0.245714354,38
visually,-0.017233248,73
violence,-0.262066332,80
experienced,0.319669752,375
victims,0.444609804,25
workplace,0.106507519,15
discrimination,0.471483403,35
had,0.164312992,186
discussions,-0.461765357,191
gathered,0.414212631,37
below,-0.081936963,16
key,-0.232535994,383
tone,0.018459669,15
being,-0.109719798,494
skin,0.628357485,19
diversity,0.056119676,382
meeting,0.359180734,66
colour,-0.43261502,118
understanding,-0.115769632,232
when,-0.745396993,266
issue,-0.129804709,78
has,0.099389836,1213
been,-0.205151692,676
canvas,0.197775477,22
systems,-0.018176899,58
silenced,-0.183087244,11
public,0.272000185,1402
help,-0.435449218,655
interrogate,0.279954406,23
above,0.342874182,56
learn,0.155065564,378
lighting,0.109222007,121
3d,-0.830249381,83
well,0.209614525,922
speech,-0.190153129,42
children,0.269847247,1078
joyful,0.045160949,33
child,-0.065638938,120
centred,0.770063674,87
positive,0.54153102,218
outcomes,-0.465841506,155
relation,-1.007109896,32
communication,0.377270245,98
currently,0.782898279,167
peer,0.176720709,161
sharing,-0.288558861,630
equality,-0.946612588,68
inclusion,0.326317742,135
upskill,-0.121332724,40
freelance,-0.108095713,124
training,-0.192255364,589
organisational,-0.530720934,144
offer,-0.315531913,596
opera,-0.177749012,268
house,-0.045697879,306
